"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"21",5,2,22,303,416,8,109,2,9,7,1,3,48,7,2,3,1,5,1,1,5,864,20,1,4,14,47,505,1,47,1,8,8,5,3,194,3,1,11,6,3,2,3,3,42,4,7,2,14,3,2,3,4,3,3,4,7,1,5,2,1,122,2,19,2,8,4,1,158,3,2,3,2,4,4,24,5,4,412,5,2,3,49,7,2,2,1,432,847,3,1,4,3,1,1,10,4,2,210,60,6,3,35,2,116,44,3,1,1,6,1,1,370,2,40,2,3,38,507,13,1,8,4,5,1,154,3,2,1,7,3,72,1,3,925,2,33,2,2,2,15,4,2,4,55,65,3,12,2,1,3,4,4,1,44,2,1,72,6,29,3,18,70,100,5,2,7,4,13,172,17,702,6,591,10,1,1,11,5,13,2,2,1,33,1,2,84,2,1,8,5,257,1,2,340,172,26,2,4,9
"22",1,5,1,1,127,2,32,11,2,2,2,71,2,3,1,4,3,1,3,7,3,15,1,140,1,2,242,98,3,1,16,1,25,4,4,25,2,2,3,197,4,1,1,1,1,1,67,17,3,679,26,4,58,1,2,5,2,7,140,3,3,1,3,2,14,1,1,3,3,4,9,5,1,3,1,2,4,144,2,23,1,2,8,2,1,1,11,4,2,7,85,2,1,8,4,1,1,4,3,2,3,1,1,1,6,4,7,2,4,14,3,7,4,1,163,1,1,5,7,1,285,1,2,2,2,1,1,11,15,6,5,2,8,2,4,4,1,3,1,3,9,1,3,1,18,3,2,1,1,2,1,91,3,47,5,141,3,1,1,2,1,2,1,5,1,3,48,2,14,2,3,10,49,1,1,4,71,1,22,9,8,12,5,23,2,6,31,1,2,1,2,2,3,6,1,8,4,3,2,3
"23",2,3,2,12,3,5,2,8,5,3,5,14,1,4,25,2,2,3,2,93,4,25,2,6,3,3,3,1,4,3,25,3,11,1,6,5,1,16,1,3,15,3,2,2,63,2,1,1,21,1,60,1,1,12,4,3,8,3,2,169,2,2,599,5,4,4,2,4,1,5,5,29,10,283,2,1,2,3,1,2,5,4,1,1,4,3,2,3,7,198,3,6,2,3,6,3,3,1,2,4,2,4,4,5,41,2,2,250,2,2,2,13,54,34,3,48,2,28,4,57,2,2,1,4,3,40,27,3,2,387,1,1,89,4,26,1,39,1,7,81,5,2,1,65,504,2,16,2,3,4,2,2,83,55,3,3,111,147,2,37,4,1,888,1,49,4,1,3,1,1,4,2,58,2,15,5,85,5,1,1,3,242,117,2,3,3,126,6,10,7,1,4,2,925,2,2,3,398,1,1
"24",4,80,6,5,1,7,1,4,1,1,3,1,7,2,11,8,4,2,83,2,2,19,32,7,7,40,2,2,63,19,10,61,2,2,1,1,5,3,2,4,2,38,38,4,2,85,3,3,1,79,4,2,2,4,1,1,1,2,1,4,16,16,1,1,401,2,3,2,2,1,87,1,3,1,3,45,1,1,14,3,3,1,5,100,5,4,51,17,1,2,2,3,157,154,2,2,2,7,1,1,4,25,5,4,2,1,1,24,275,1,27,2,2,6,2,6,748,1,1,2,17,693,13,1,4,3,2,1,3,1,2,22,140,1,2,78,3,15,18,1,115,75,10,3,1,30,1,57,14,8,4,3,2,19,2,1,17,2,4,3,23,24,20,2,3,1,97,1,2,225,1,1,1,3,13,2,2,3,105,14,218,771,2,1,684,1,2,3,38,12,4,1,190,3,4,7,138,25,350,51
"25",3,1,87,66,2,1,4,1,3,4,4,2,4,1,5,1,35,4,8,3,1,10,277,2,2,1,1,11,42,77,381,2,1,3,2,2,60,18,4,2,1,249,192,7,15,3,2,34,2,2,3,10,3,2,7,2,77,24,37,1,288,5,5,30,1,122,11,8,4,2,1,4,6,2,6,18,3,2,3,1,4,6,2,271,3,40,3,1,5,1,22,1,4,37,3,5,162,5,4,30,1,2,2,3,1,5,94,90,3,18,13,4,1,3,1,4,198,2,2,37,3,6,12,104,5,2,704,51,4,2,4,89,22,6,1,3,2,40,3,4,1,352,4,2,2,1,40,34,4,87,7,1,1,2,1,188,2,28,142,1,2,9,18,4,2,6,2,5,3,3,2,6,10,5,2,3,3,2,2,5,1,1,3,3,69,470,1,4,74,2,3,3,4,1,3,1,1,1,750,2
"26",4,1,24,267,302,8,104,2,15,11,1,3,60,7,2,3,1,6,1,1,5,922,19,1,4,12,85,663,1,45,1,7,8,5,3,288,3,1,8,7,3,2,4,3,45,3,6,2,13,3,3,3,4,2,3,4,7,1,5,2,1,230,2,28,2,10,4,1,177,3,2,3,2,4,4,18,5,6,451,5,2,3,63,13,2,2,1,368,741,3,1,3,3,1,1,11,4,2,209,70,6,3,63,2,114,57,3,1,1,5,1,1,314,2,33,2,3,33,558,7,1,7,5,7,1,131,3,2,1,6,3,76,1,3,889,2,37,3,2,2,13,3,1,4,51,61,3,14,2,1,3,4,4,2,43,2,1,67,4,24,3,13,61,118,8,2,9,4,12,275,18,856,6,556,13,1,1,10,5,12,2,2,1,27,1,2,103,2,1,10,5,304,1,1,269,154,25,2,4,10
"27",1,5,1,2,124,2,19,16,2,2,2,103,2,3,1,4,3,1,3,7,4,8,1,108,1,2,409,97,4,1,15,1,25,4,4,20,2,2,3,172,4,1,1,1,1,1,54,17,2,690,24,8,61,1,2,11,2,10,157,3,3,1,4,2,33,1,1,3,4,4,11,4,1,3,1,2,3,303,2,22,1,2,7,1,1,1,14,4,3,7,77,2,1,7,4,1,1,5,3,2,3,1,1,1,6,3,10,2,4,20,3,7,4,1,277,1,1,5,6,1,339,1,2,2,2,1,1,13,14,5,5,2,8,2,4,3,2,2,1,3,5,1,3,1,19,3,2,1,1,2,1,98,3,87,5,151,3,1,1,1,1,2,1,6,1,3,59,2,14,2,3,8,37,1,1,4,53,1,19,11,8,15,5,25,2,6,30,1,2,1,2,2,3,5,1,19,4,3,2,2
"28",2,3,2,10,3,3,2,7,6,3,4,13,1,4,24,2,2,3,2,55,3,25,2,6,3,3,3,1,3,4,22,3,10,2,7,7,1,26,1,2,12,3,2,2,68,2,1,1,21,1,42,1,1,12,5,3,12,3,2,163,2,2,518,4,4,5,3,4,1,5,7,40,11,281,3,1,2,3,1,1,5,4,1,2,4,3,2,3,14,172,3,6,2,2,7,2,3,1,2,3,2,4,4,5,90,2,2,201,2,2,2,15,43,28,3,69,2,47,8,103,2,6,1,3,3,44,21,4,2,365,1,1,84,4,35,1,47,1,6,64,10,2,2,71,520,2,21,2,3,5,2,2,74,61,4,3,69,159,2,42,4,1,898,1,39,4,1,3,1,1,4,2,67,2,18,5,109,6,1,1,3,227,101,2,4,3,196,5,15,5,1,4,2,849,6,2,3,407,1,1
"29",5,81,7,3,1,10,1,4,1,1,3,1,7,2,11,7,4,2,67,2,2,17,52,7,12,28,2,2,73,16,8,37,2,1,1,1,4,3,2,4,2,36,18,4,2,85,3,3,1,135,4,2,2,6,1,1,1,2,1,4,13,17,1,1,376,2,2,2,2,1,94,1,3,1,2,27,1,1,18,3,3,1,5,112,5,4,57,18,1,2,2,4,127,222,2,3,2,6,1,1,5,40,5,4,2,1,1,18,357,1,25,2,2,4,2,7,780,2,1,2,20,712,13,1,4,3,2,1,3,1,2,32,126,1,2,65,3,16,19,1,109,66,12,3,1,36,1,67,17,6,4,3,1,14,2,1,16,2,7,3,30,25,15,2,3,1,144,1,2,246,1,1,1,3,10,2,2,3,85,19,200,863,2,1,536,1,2,3,23,8,4,1,251,3,2,12,166,34,230,126
"30",3,2,86,67,2,1,4,1,3,4,6,2,4,1,5,1,45,4,9,3,1,14,361,2,2,1,1,11,36,66,426,2,1,3,2,2,56,14,4,1,1,330,183,8,15,4,2,37,3,2,2,9,3,3,8,2,85,28,34,1,232,7,5,37,1,101,9,13,3,2,1,11,16,2,6,19,4,2,3,2,4,6,2,223,3,50,3,1,9,1,31,1,4,47,3,5,105,4,6,38,1,2,2,3,1,4,75,57,3,26,10,5,1,3,1,6,117,1,2,53,3,5,8,124,5,2,703,95,4,2,4,72,25,7,1,4,1,41,3,5,1,443,4,2,2,1,45,40,4,86,7,1,2,1,1,195,2,26,134,2,2,8,17,4,2,7,2,5,3,3,2,6,8,7,2,3,3,2,2,3,1,1,3,3,64,473,1,4,85,2,3,3,4,2,4,1,1,1,617,3
